	SRR2352185	SRR2352186	SRR2352187	SRR2352188	SRR2352189	SRR2352190	SRR2352191	SRR2352192	SRR2352193	SRR2352194	SRR2352195	SRR2352196	SRR2352197	SRR2352198	SRR2352199	SRR2352200	SRR2352201	SRR2352202	SRR2352203	SRR2352204	SRR2352205	SRR2352206	SRR2352207	SRR2352208	SRR2352209	SRR2352210	SRR2352211	SRR2352212	SRR2352213	SRR2352214	SRR2352215	SRR2352216	SRR2352217	SRR2352218	SRR2352219	SRR2352220	SRR2352221	SRR2352222	SRR2352223	SRR2352224	SRR2352225	SRR2352226	SRR2352227	SRR2352228	SRR2352229	SRR2352230	SRR2352231	SRR2352232	SRR2352233	SRR2352234
SRR2352208	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352209	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352210	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352211	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352212	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352213	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352214	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352215	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352216	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352217	21.0	16.0	16.0	16.0	18.0	16.0	9.0	59.0	16.0	16.0	16.0	66.0	9.0	17.0	16.0	16.0	9.0	19.0	16.0	10.0	18.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	9.0	9.0	9.0	9.0	0.0	0.0	16.0	16.0	16.0	16.0	16.0	16.0	3.0	3.0	16.0	3.0	3.0	11.0	16.0	16.0	16.0	16.0
SRR2352218	21.0	16.0	16.0	16.0	18.0	16.0	9.0	59.0	16.0	16.0	16.0	66.0	9.0	17.0	16.0	16.0	9.0	19.0	16.0	10.0	18.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	9.0	9.0	9.0	9.0	0.0	0.0	16.0	16.0	16.0	16.0	16.0	16.0	3.0	3.0	16.0	3.0	3.0	11.0	16.0	16.0	16.0	16.0
SRR2352219	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352220	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352221	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352222	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352223	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352224	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352225	18.0	13.0	13.0	13.0	15.0	13.0	6.0	56.0	13.0	13.0	13.0	63.0	6.0	14.0	13.0	13.0	6.0	16.0	13.0	7.0	15.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	6.0	6.0	6.0	6.0	3.0	3.0	13.0	13.0	13.0	13.0	13.0	13.0	0.0	0.0	13.0	0.0	0.0	8.0	13.0	13.0	13.0	13.0
SRR2352226	18.0	13.0	13.0	13.0	15.0	13.0	6.0	56.0	13.0	13.0	13.0	63.0	6.0	14.0	13.0	13.0	6.0	16.0	13.0	7.0	15.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	6.0	6.0	6.0	6.0	3.0	3.0	13.0	13.0	13.0	13.0	13.0	13.0	0.0	0.0	13.0	0.0	0.0	8.0	13.0	13.0	13.0	13.0
SRR2352227	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352228	18.0	13.0	13.0	13.0	15.0	13.0	6.0	56.0	13.0	13.0	13.0	63.0	6.0	14.0	13.0	13.0	6.0	16.0	13.0	7.0	15.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	6.0	6.0	6.0	6.0	3.0	3.0	13.0	13.0	13.0	13.0	13.0	13.0	0.0	0.0	13.0	0.0	0.0	8.0	13.0	13.0	13.0	13.0
SRR2352229	18.0	13.0	13.0	13.0	15.0	13.0	6.0	56.0	13.0	13.0	13.0	63.0	6.0	14.0	13.0	13.0	6.0	16.0	13.0	7.0	15.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	6.0	6.0	6.0	6.0	3.0	3.0	13.0	13.0	13.0	13.0	13.0	13.0	0.0	0.0	13.0	0.0	0.0	8.0	13.0	13.0	13.0	13.0
SRR2352230	5.0	0.0	0.0	0.0	2.0	0.0	14.0	30.0	0.0	0.0	0.0	33.0	14.0	1.0	0.0	0.0	14.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	14.0	14.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0
SRR2352231	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352232	5.0	0.0	0.0	0.0	0.0	0.0	19.0	43.0	0.0	0.0	0.0	45.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352233	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352234	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
