	SRR2352185	SRR2352186	SRR2352187	SRR2352188	SRR2352189	SRR2352190	SRR2352191	SRR2352192	SRR2352193	SRR2352194	SRR2352195	SRR2352196	SRR2352197	SRR2352198	SRR2352199	SRR2352200	SRR2352201	SRR2352202	SRR2352203	SRR2352204	SRR2352205	SRR2352206	SRR2352207	SRR2352208	SRR2352209	SRR2352210	SRR2352211	SRR2352212	SRR2352213	SRR2352214	SRR2352215	SRR2352216	SRR2352217	SRR2352218	SRR2352219	SRR2352220	SRR2352221	SRR2352222	SRR2352223	SRR2352224	SRR2352225	SRR2352226	SRR2352227	SRR2352228	SRR2352229	SRR2352230	SRR2352231	SRR2352232	SRR2352233	SRR2352234
SRR2352216	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352217	52.0	45.0	44.0	45.0	48.0	44.0	16.0	125.0	44.0	45.0	44.0	134.0	16.0	41.0	46.0	46.0	16.0	45.0	46.0	21.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	16.0	16.0	16.0	16.0	0.0	0.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352218	52.0	45.0	44.0	45.0	48.0	44.0	16.0	125.0	44.0	45.0	44.0	134.0	16.0	41.0	46.0	46.0	16.0	45.0	46.0	21.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	16.0	16.0	16.0	16.0	0.0	0.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352219	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352220	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352221	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352222	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352223	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352224	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352225	44.0	37.0	36.0	37.0	40.0	36.0	8.0	117.0	36.0	37.0	36.0	126.0	8.0	33.0	38.0	38.0	8.0	37.0	38.0	13.0	28.0	37.0	37.0	37.0	29.0	29.0	37.0	37.0	8.0	8.0	8.0	8.0	8.0	8.0	37.0	37.0	29.0	29.0	29.0	29.0	0.0	0.0	37.0	0.0	0.0	23.0	38.0	36.0	38.0	37.0
SRR2352226	44.0	37.0	36.0	37.0	40.0	36.0	8.0	117.0	36.0	37.0	36.0	126.0	8.0	33.0	38.0	38.0	8.0	37.0	38.0	13.0	28.0	37.0	37.0	37.0	29.0	29.0	37.0	37.0	8.0	8.0	8.0	8.0	8.0	8.0	37.0	37.0	29.0	29.0	29.0	29.0	0.0	0.0	37.0	0.0	0.0	23.0	38.0	36.0	38.0	37.0
SRR2352227	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352228	44.0	37.0	36.0	37.0	40.0	36.0	8.0	117.0	36.0	37.0	36.0	126.0	8.0	33.0	38.0	38.0	8.0	37.0	38.0	13.0	28.0	37.0	37.0	37.0	29.0	29.0	37.0	37.0	8.0	8.0	8.0	8.0	8.0	8.0	37.0	37.0	29.0	29.0	29.0	29.0	0.0	0.0	37.0	0.0	0.0	23.0	38.0	36.0	38.0	37.0
SRR2352229	44.0	37.0	36.0	37.0	40.0	36.0	8.0	116.0	36.0	37.0	36.0	125.0	8.0	33.0	38.0	38.0	8.0	37.0	38.0	13.0	28.0	37.0	37.0	37.0	29.0	29.0	37.0	37.0	8.0	8.0	8.0	8.0	8.0	8.0	37.0	37.0	29.0	29.0	29.0	29.0	0.0	0.0	37.0	0.0	0.0	23.0	38.0	36.0	38.0	37.0
SRR2352230	7.0	0.0	0.0	0.0	3.0	0.0	31.0	70.0	0.0	0.0	0.0	77.0	31.0	11.0	0.0	0.0	31.0	13.0	0.0	0.0	16.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	31.0	30.0	31.0	31.0	31.0	31.0	0.0	0.0	5.0	5.0	5.0	5.0	23.0	23.0	0.0	23.0	23.0	0.0	0.0	0.0	0.0	0.0
SRR2352231	8.0	1.0	1.0	0.0	4.0	1.0	46.0	116.0	1.0	1.0	1.0	125.0	46.0	15.0	0.0	0.0	46.0	17.0	0.0	0.0	19.0	1.0	1.0	1.0	9.0	9.0	1.0	1.0	46.0	45.0	46.0	46.0	46.0	46.0	1.0	1.0	9.0	9.0	9.0	9.0	38.0	38.0	1.0	38.0	38.0	0.0	0.0	0.0	0.0	0.0
SRR2352232	8.0	1.0	1.0	0.0	1.0	1.0	44.0	113.0	1.0	1.0	1.0	117.0	44.0	14.0	0.0	0.0	44.0	16.0	0.0	0.0	18.0	1.0	1.0	1.0	8.0	8.0	1.0	1.0	44.0	43.0	44.0	44.0	44.0	44.0	1.0	1.0	8.0	8.0	8.0	8.0	36.0	36.0	1.0	36.0	36.0	0.0	0.0	0.0	0.0	0.0
SRR2352233	8.0	1.0	1.0	0.0	4.0	1.0	46.0	117.0	1.0	1.0	1.0	126.0	46.0	15.0	0.0	0.0	46.0	17.0	0.0	0.0	19.0	1.0	1.0	1.0	9.0	9.0	1.0	1.0	46.0	45.0	46.0	46.0	46.0	46.0	1.0	1.0	9.0	9.0	9.0	9.0	38.0	38.0	1.0	38.0	38.0	0.0	0.0	0.0	0.0	0.0
SRR2352234	8.0	1.0	1.0	0.0	4.0	1.0	45.0	116.0	1.0	1.0	1.0	125.0	45.0	14.0	0.0	0.0	45.0	16.0	0.0	0.0	18.0	1.0	1.0	1.0	8.0	8.0	1.0	1.0	45.0	44.0	45.0	45.0	45.0	45.0	1.0	1.0	8.0	8.0	8.0	8.0	37.0	37.0	1.0	37.0	37.0	0.0	0.0	0.0	0.0	0.0
